skin_name,price_rp,rarity,champion,skin_name_norm
Warden Quinn,1350,Epic,Quinn,wardenquinn
Rakan,975,Legacy,Rakan,rakan
Cosmic Dawn Rakan,1350,Epic,Rakan,cosmicdawnrakan
Sweetheart Rakan,1350,Epic,Rakan,sweetheartrakan
SSG Rakan,1350,Epic,Rakan,ssgrakan
iG Rakan,1350,Epic,Rakan,igrakan
Star Guardian Rakan,1820,Legendary,Rakan,starguardianrakan
Elderwood Rakan,1350,Epic,Rakan,elderwoodrakan
Rammus,585,Legacy,Rammus,rammus
Chrome Rammus,750,Legacy,Rammus,chromerammus
Molten Rammus,975,Legacy,Rammus,moltenrammus
Freljord Rammus,520,Legacy,Rammus,freljordrammus
Ninja Rammus,975,Legacy,Rammus,ninjarammus
Full Metal Rammus,975,Legacy,Rammus,fullmetalrammus
Guardian of the Sands Rammus,975,Legacy,Rammus,guardianofthesandsrammus
Sweeper Rammus,975,Legacy,Rammus,sweeperrammus
Rek'Sai,880,Legacy,Rek'Sai,reksai
Eternum Rek'Sai,1350,Epic,Rek'Sai,eternumreksai
Pool Party Rek'Sai,1350,Epic,Rek'Sai,poolpartyreksai
Rell,975,Legacy,Rell,rell
Battle Queen Rell,1350,Epic,Rell,battlequeenrell
Renata Glasc,975,Legacy,Renata Glasc,renataglasc
Admiral Glasc Renata Glasc,1350,Epic,Renata Glasc,admiralglascrenataglasc
Renekton,880,Legacy,Renekton,renekton
Galactic Renekton,520,Legacy,Renekton,galacticrenekton
Outback Renekton,520,Legacy,Renekton,outbackrenekton
Bloodfury Renekton,975,Legacy,Renekton,bloodfuryrenekton
Rune Wars Renekton,975,Legacy,Renekton,runewarsrenekton
Pool Party Renekton,975,Legacy,Renekton,poolpartyrenekton
Scorched Earth Renekton,975,Legacy,Renekton,scorchedearthrenekton
Prehistoric Renekton,750,Legacy,Renekton,prehistoricrenekton
SKT T1 Renekton,975,Legacy,Renekton,sktt1renekton
Renektoy Renekton,750,Legacy,Renekton,renektoyrenekton
Rengar,880,Legacy,Rengar,rengar
Headhunter Rengar,975,Legacy,Rengar,headhunterrengar
Riven,880,Legacy,Riven,riven
Redeemed Riven,975,Legacy,Riven,redeemedriven
Crimson Elite Riven,520,Legacy,Riven,crimsoneliteriven
Battle Bunny Riven,975,Legacy,Riven,battlebunnyriven
Rumble,880,Legacy,Rumble,rumble
Bilgerat Rumble,520,Legacy,Rumble,bilgeratrumble
Rumble in the Jungle Rumble,975,Legacy,Rumble,rumbleinthejunglerumble
Super Galaxy Rumble,1820,Legendary,Rumble,supergalaxyrumble
Badlands Baron Rumble,1350,Epic,Rumble,badlandsbaronrumble
Ryze,260,Legacy,Ryze,ryze
Tribal Ryze,520,Legacy,Ryze,tribalryze
Uncle Ryze,520,Legacy,Ryze,uncleryze
Professor Ryze,975,Legacy,Ryze,professorryze
Zombie Ryze,975,Legacy,Ryze,zombieryze
Dark Crystal Ryze,975,Legacy,Ryze,darkcrystalryze
Pirate Ryze,975,Legacy,Ryze,pirateryze
Ryze Whitebeard Ryze,750,Legacy,Ryze,ryzewhitebeardryze
SKT T1 Ryze,975,Legacy,Ryze,sktt1ryze
Samira,975,Legacy,Samira,samira
PsyOps Samira,1350,Epic,Samira,psyopssamira
Sejuani,880,Legacy,Sejuani,sejuani
Sabretusk Sejuani,975,Legacy,Sejuani,sabretusksejuani
Darkrider Sejuani,975,Legacy,Sejuani,darkridersejuani
Traditional Sejuani,975,Legacy,Sejuani,traditionalsejuani
Bear Cavalry Sejuani,1350,Epic,Sejuani,bearcavalrysejuani
Poro Rider Sejuani,975,Legacy,Sejuani,pororidersejuani
Senna,975,Legacy,Senna,senna
True Damage Senna,1350,Epic,Senna,truedamagesenna
Seraphine,975,Legacy,Seraphine,seraphine
KDA ALL OUT Indie Seraphine,3250,Ultimate,Seraphine,kdaalloutindieseraphine
Graceful Phoenix Seraphine,1350,Epic,Seraphine,gracefulphoenixseraphine
Sett,975,Legacy,Sett,sett
Mecha Kingdoms Sett,1350,Epic,Sett,mechakingdomssett
Shaco,790,Legacy,Shaco,shaco
Mad Hatter Shaco,520,Legacy,Shaco,madhattershaco
Royal Shaco,520,Legacy,Shaco,royalshaco
Nutcracko Shaco,975,Legacy,Shaco,nutcrackoshaco
Workshop Shaco,975,Legacy,Shaco,workshopshaco
Asylum Shaco,975,Legacy,Shaco,asylumshaco
Masked Shaco,975,Legacy,Shaco,maskedshaco
Wild Card Shaco,750,Legacy,Shaco,wildcardshaco
Dark Star Shaco,1350,Epic,Shaco,darkstarshaco
Shen,790,Legacy,Shen,shen
Frozen Shen,520,Legacy,Shen,frozenshen
Yellow Jacket Shen,520,Legacy,Shen,yellowjacketshen
Surgeon Shen,975,Legacy,Shen,surgeonshen
Shyvana,790,Legacy,Shyvana,shyvana
Ironscale Shyvana,750,Legacy,Shyvana,ironscaleshyvana
Boneclaw Shyvana,520,Legacy,Shyvana,boneclawshyvana
Darkflame Shyvana,975,Legacy,Shyvana,darkflameshyvana
Ice Drake Shyvana,975,Legacy,Shyvana,icedrakeshyvana
Worlds 2014 Shyvana,975,Legacy,Shyvana,worlds2014shyvana
Singed,260,Legacy,Singed,singed
Riot Squad Singed,975,Legacy,Singed,riotsquadsinged
Hextech Singed,520,Legacy,Singed,hextechsinged
Surfer Singed,975,Legacy,Singed,surfersinged
Mad Scientist Singed,750,Legacy,Singed,madscientistsinged
Augmented Singed,975,Legacy,Singed,augmentedsinged
Snow Day Singed,975,Legacy,Singed,snowdaysinged
SSW Singed,750,Legacy,Singed,sswsinged
Black Scourge Singed,750,Legacy,Singed,blackscourgesinged
Beekeeper Singed,1350,Epic,Singed,beekeepersinged
Resistance Singed,1350,Epic,Singed,resistancesinged
Sion,585,Legacy,Sion,sion
Hextech Sion,520,Legacy,Sion,hextechsion
Barbarian Sion,750,Legacy,Sion,barbariansion
Lumberjack Sion,520,Legacy,Sion,lumberjacksion
Warmonger Sion,975,Legacy,Sion,warmongersion
Mecha Zero Sion,1820,Legendary,Sion,mechazerosion
Sivir,260,Legacy,Sivir,sivir
Warrior Princess Sivir,520,Legacy,Sivir,warriorprincesssivir
Spectacular Sivir,975,Legacy,Sivir,spectacularsivir
Bandit Sivir,750,Legacy,Sivir,banditsivir
Snowstorm Sivir,975,Legacy,Sivir,snowstormsivir
Skarner,880,Legacy,Skarner,skarner
Sandscourge Skarner,975,Legacy,Skarner,sandscourgeskarner
Earthrune Skarner,520,Legacy,Skarner,earthruneskarner
Battlecast Alpha Skarner,1820,Legendary,Skarner,battlecastalphaskarner
Guardian of the Sands Skarner,975,Legacy,Skarner,guardianofthesandsskarner
Cosmic Sting Skarner,1350,Epic,Skarner,cosmicstingskarner
Smolder,975,Legacy,Smolder,smolder
Heavenscale Smolder,1350,Epic,Smolder,heavenscalesmolder
Sona,790,Legacy,Sona,sona
Muse Sona,975,Legacy,Sona,musesona
Pentakill Sona,975,Legacy,Sona,pentakillsona
Silent Night Sona,520,Legacy,Sona,silentnightsona
Guqin Sona,975,Legacy,Sona,guqinsona
Soraka,260,Legacy,Soraka,soraka
Dryad Soraka,520,Legacy,Soraka,dryadsoraka
Divine Soraka,975,Legacy,Soraka,divinesoraka
Celestine Soraka,975,Legacy,Soraka,celestinesoraka
Reaper Soraka,1350,Epic,Soraka,reapersoraka
Order of the Banana Soraka,750,Legacy,Soraka,orderofthebananasoraka
Program Soraka,1350,Epic,Soraka,programsoraka
Star Guardian Soraka,1350,Epic,Soraka,starguardiansoraka
Pajama Guardian Soraka,1350,Epic,Soraka,pajamaguardiansoraka
Winter Wonder Soraka,1350,Epic,Soraka,winterwondersoraka
Swain,880,Legacy,Swain,swain
Bilgewater Swain,520,Legacy,Swain,bilgewaterswain
Northern Front Swain,750,Legacy,Swain,northernfrontswain
Tyrant Swain,1350,Epic,Swain,tyrantswain
Dragon Master Swain,1350,Epic,Swain,dragonmasterswain
Sylas,975,Legacy,Sylas,sylas
Lunar Wraith Sylas,1350,Epic,Sylas,lunarwraithsylas
Syndra,880,Legacy,Syndra,syndra
Justicar Syndra,975,Legacy,Syndra,justicarsyndra
Atlantean Syndra,975,Legacy,Syndra,atlanteansyndra
Queen of Diamonds Syndra,750,Legacy,Syndra,queenofdiamondssyndra
Snow Day Syndra,1350,Epic,Syndra,snowdaysyndra
SKT T1 Syndra,1350,Epic,Syndra,sktt1syndra
Tahm Kench,880,Legacy,Tahm Kench,tahmkench
Master Chef Tahm Kench,975,Legacy,Tahm Kench,mastercheftahmkench
Urf Kench Tahm Kench,750,Legacy,Tahm Kench,urfkenchtahmkench
Coin Emperor Tahm Kench,1350,Epic,Tahm Kench,coinemperortahmkench
Taliyah,975,Legacy,Taliyah,taliyah
Freljord Taliyah,1350,Epic,Taliyah,freljordtaliyah
SSG Taliyah,1350,Epic,Taliyah,ssgtaliyah
Pool Party Taliyah,1350,Epic,Taliyah,poolpartytaliyah
Talon,880,Legacy,Talon,talon
Renegade Talon,520,Legacy,Talon,renegadetalon
Crimson Elite Talon,750,Legacy,Talon,crimsonelitetalon
Dragonblade Talon,975,Legacy,Talon,dragonbladetalon
Taric,585,Legacy,Taric,taric
Emerald Taric,520,Legacy,Taric,emeraldtaric
Armor of the Fifth Age Taric,750,Legacy,Taric,armorofthefifthagetaric
Bloodstone Taric,975,Legacy,Taric,bloodstonetaric
Pool Party Taric,1350,Epic,Taric,poolpartytaric
Teemo,585,Legacy,Teemo,teemo
Happy Elf Teemo,750,Legacy,Teemo,happyelfteemo
Recon Teemo,750,Legacy,Teemo,reconteemo
Badger Teemo,750,Legacy,Teemo,badgerteemo
Astronaut Teemo,1350,Epic,Teemo,astronautteemo
Thresh,880,Legacy,Thresh,thresh
Deep Terror Thresh,975,Legacy,Thresh,deepterrorthresh
Worlds 2013 Thresh,975,Legacy,Thresh,worlds2013thresh
Tristana,585,Legacy,Tristana,tristana
Earnest Elf Tristana,520,Legacy,Tristana,earnestelftristana
Firefighter Tristana,1820,Legendary,Tristana,firefightertristana
Guerilla Tristana,975,Legacy,Tristana,guerillatristana
Buccaneer Tristana,520,Legacy,Tristana,buccaneertristana
Rocket Girl Tristana,975,Legacy,Tristana,rocketgirltristana
Trundle,880,Legacy,Trundle,trundle
Junkyard Trundle,750,Legacy,Trundle,junkyardtrundle
Lil' Slugger Trundle,520,Legacy,Trundle,lilsluggertrundle
Traditional Trundle,975,Legacy,Trundle,traditionaltrundle
Constable Trundle,750,Legacy,Trundle,constabletrundle
Worldbreaker Trundle,750,Legacy,Trundle,worldbreakertrundle
Dragonslayer Trundle,1350,Epic,Trundle,dragonslayertrundle
Tryndamere,585,Legacy,Tryndamere,tryndamere
Highland Tryndamere,520,Legacy,Tryndamere,highlandtryndamere
King Tryndamere,520,Legacy,Tryndamere,kingtryndamere
Viking Tryndamere,750,Legacy,Tryndamere,vikingtryndamere
Demonblade Tryndamere,1820,Legendary,Tryndamere,demonbladetryndamere
Sultan Tryndamere,975,Legacy,Tryndamere,sultantryndamere
Warring Kingdoms Tryndamere,975,Legacy,Tryndamere,warringkingdomstryndamere
Nightmare Tryndamere,750,Legacy,Tryndamere,nightmaretryndamere
Beast Hunter Tryndamere,750,Legacy,Tryndamere,beasthuntertryndamere
Chemtech Tryndamere,975,Legacy,Tryndamere,chemtechtryndamere
Blood Moon Tryndamere,1350,Epic,Tryndamere,bloodmoontryndamere
Twisted Fate,585,Legacy,Twisted Fate,twistedfate
Jack of Hearts Twisted Fate,520,Legacy,Twisted Fate,jackofheartstwistedfate
The Magnificent Twisted Fate,1820,Legendary,Twisted Fate,themagnificenttwistedfate
Tango Twisted Fate,520,Legacy,Twisted Fate,tangotwistedfate
High Noon Twisted Fate,975,Legacy,Twisted Fate,highnoontwistedfate
Musketeer Twisted Fate,750,Legacy,Twisted Fate,musketeertwistedfate
Underworld Twisted Fate,975,Legacy,Twisted Fate,underworldtwistedfate
Red Card Twisted Fate,750,Legacy,Twisted Fate,redcardtwistedfate
Cutpurse Twisted Fate,750,Legacy,Twisted Fate,cutpursetwistedfate
Blood Moon Twisted Fate,1350,Epic,Twisted Fate,bloodmoontwistedfate
Twitch,790,Legacy,Twitch,twitch
Kingpin Twitch,520,Legacy,Twitch,kingpintwitch
Udyr,585,Legacy,Udyr,udyr
Black Belt Udyr,520,Legacy,Udyr,blackbeltudyr
Primal Udyr,975,Legacy,Udyr,primaludyr
Spirit Guard Udyr,3250,Ultimate,Udyr,spiritguardudyr
Urgot,790,Legacy,Urgot,urgot
Butcher Urgot,520,Legacy,Urgot,butcherurgot
Giant Enemy Crabgot Urgot,520,Legacy,Urgot,giantenemycrabgoturgot
Battlecast Urgot,1350,Epic,Urgot,battlecasturgot
Varus,880,Legacy,Varus,varus
Blight Crystal Varus,975,Legacy,Varus,blightcrystalvarus
Arclight Varus,975,Legacy,Varus,arclightvarus
Arctic Ops Varus,1350,Epic,Varus,arcticopsvarus
Heartseeker Varus,1350,Epic,Varus,heartseekervarus
Varus Swiftbolt Varus,750,Legacy,Varus,varusswiftboltvarus
Dark Star Varus,1350,Epic,Varus,darkstarvarus
Vayne,880,Legacy,Vayne,vayne
Aristocrat Vayne,520,Legacy,Vayne,aristocratvayne
Vindicator Vayne,520,Legacy,Vayne,vindicatorvayne
Dragonslayer Vayne,975,Legacy,Vayne,dragonslayervayne
Veigar,585,Legacy,Veigar,veigar
White Mage Veigar,390,Legacy,Veigar,whitemageveigar
Curling Veigar,520,Legacy,Veigar,curlingveigar
Veigar Greybeard Veigar,750,Legacy,Veigar,veigargreybeardveigar
Leprechaun Veigar,520,Legacy,Veigar,leprechaunveigar
Baron Von Veigar,975,Legacy,Veigar,baronvonveigar
Superb Villain Veigar,975,Legacy,Veigar,superbvillainveigar
Bad Santa Veigar,975,Legacy,Veigar,badsantaveigar
Final Boss Veigar,1820,Legendary,Veigar,finalbossveigar
Vel'Koz,880,Legacy,Vel'Koz,velkoz
Battlecast Vel'Koz,1350,Epic,Vel'Koz,battlecastvelkoz
Arclight Vel'Koz,1350,Epic,Vel'Koz,arclightvelkoz
Definitely Not Vel'Koz,750,Legacy,Vel'Koz,definitelynotvelkoz
Infernal Vel'Koz,1350,Epic,Vel'Koz,infernalvelkoz
Vex,975,Legacy,Vex,vex
Dawnbringer Vex,1350,Epic,Vex,dawnbringervex
Vi,880,Legacy,Vi,vi
Neon Strike Vi,975,Legacy,Vi,neonstrikevi
Officer Vi,975,Legacy,Vi,officervi
Viego,975,Legacy,Viego,viego
Lunar Beast Viego,1350,Epic,Viego,lunarbeastviego
Viktor,880,Legacy,Viktor,viktor
Full Machine Viktor,975,Legacy,Viktor,fullmachineviktor
Prototype Viktor,520,Legacy,Viktor,prototypeviktor
Creator Viktor,1350,Epic,Viktor,creatorviktor
Death Sworn Viktor,1350,Epic,Viktor,deathswornviktor
PsyOps Viktor,1350,Epic,Viktor,psyopsviktor
Vladimir,790,Legacy,Vladimir,vladimir
Count Vladimir,520,Legacy,Vladimir,countvladimir
Marquis Vladimir,520,Legacy,Vladimir,marquisvladimir
Nosferatu Vladimir,975,Legacy,Vladimir,nosferatuvladimir
Vandal Vladimir,975,Legacy,Vladimir,vandalvladimir
Blood Lord Vladimir,1820,Legendary,Vladimir,bloodlordvladimir
Soulstealer Vladimir,1350,Epic,Vladimir,soulstealervladimir
Academy Vladimir,750,Legacy,Vladimir,academyvladimir
Dark Waters Vladimir,1350,Epic,Vladimir,darkwatersvladimir
Volibear,880,Legacy,Volibear,volibear
Thunder Lord Volibear,520,Legacy,Volibear,thunderlordvolibear
Northern Storm Volibear,750,Legacy,Volibear,northernstormvolibear
Runeguard Volibear,975,Legacy,Volibear,runeguardvolibear
Captain Volibear,750,Legacy,Volibear,captainvolibear
El Rayo Volibear,750,Legacy,Volibear,elrayovolibear
The Thousand-Pierced Bear Volibear,975,Legacy,Volibear,thethousandpiercedbearvolibear
Duality Dragon Volibear,1350,Epic,Volibear,dualitydragonvolibear
Warwick,260,Legacy,Warwick,warwick
Urf the Manatee Warwick,5000,Ultimate,Warwick,urfthemanateewarwick
Big Bad Warwick,520,Legacy,Warwick,bigbadwarwick
Wukong,880,Legacy,Wukong,wukong
General Wukong,750,Legacy,Wukong,generalwukong
Volcanic Wukong,975,Legacy,Wukong,volcanicwukong
Jade Dragon Wukong,975,Legacy,Wukong,jadedragonwukong
Xayah,975,Legacy,Xayah,xayah
Cosmic Dusk Xayah,1350,Epic,Xayah,cosmicduskxayah
Sweetheart Xayah,1350,Epic,Xayah,sweetheartxayah
SSG Xayah,1350,Epic,Xayah,ssgxayah
Star Guardian Xayah,1820,Legendary,Xayah,starguardianxayah
Elderwood Xayah,1350,Epic,Xayah,elderwoodxayah
Xerath,880,Legacy,Xerath,xerath
Runeborn Xerath,750,Legacy,Xerath,runebornxerath
Battlecast Xerath,520,Legacy,Xerath,battlecastxerath
Scorched Earth Xerath,1350,Epic,Xerath,scorchedearthxerath
Guardian of the Sands Xerath,1350,Epic,Xerath,guardianofthesandsxerath
Dark Star Xerath,1350,Epic,Xerath,darkstarxerath
Xin Zhao,585,Legacy,Xin Zhao,xinzhao
Commando Xin Zhao,520,Legacy,Xin Zhao,commandoxinzhao
Imperial Xin Zhao,520,Legacy,Xin Zhao,imperialxinzhao
Viscero Xin Zhao,975,Legacy,Xin Zhao,visceroxinzhao
Winged Hussar Xin Zhao,975,Legacy,Xin Zhao,wingedhussarxinzhao
Warring Kingdoms Xin Zhao,1350,Epic,Xin Zhao,warringkingdomsxinzhao
Yasuo,880,Legacy,Yasuo,yasuo
High Noon Yasuo,975,Legacy,Yasuo,highnoonyasuo
Yone,975,Legacy,Yone,yone
Spirit Blossom Yone,1350,Epic,Yone,spiritblossomyone
Yorick,880,Legacy,Yorick,yorick
Undertaker Yorick,520,Legacy,Yorick,undertakeryorick
Pentakill Yorick,975,Legacy,Yorick,pentakillyorick
Arclight Yorick,1350,Epic,Yorick,arclightyorick
Meowrick Yorick,1350,Epic,Yorick,meowrickyorick
Yuumi,975,Legacy,Yuumi,yuumi
Battle Principal Yuumi,1350,Epic,Yuumi,battleprincipalyuumi
Zac,880,Legacy,Zac,zac
Zed,880,Legacy,Zed,zed
Shockblade Zed,975,Legacy,Zed,shockbladezed
Zeri,975,Legacy,Zeri,zeri
Withered Rose Zeri,1350,Epic,Zeri,witheredrosezeri
Ziggs,880,Legacy,Ziggs,ziggs
Mad Scientist Ziggs,975,Legacy,Ziggs,madscientistziggs
Major Ziggs,975,Legacy,Ziggs,majorziggs
Pool Party Ziggs,1350,Epic,Ziggs,poolpartyziggs
Snow Day Ziggs,975,Legacy,Ziggs,snowdayziggs
Master Arcanist Ziggs,1350,Epic,Ziggs,masterarcanistziggs
Battle Boss Ziggs,1350,Epic,Ziggs,battlebossziggs
Odyssey Ziggs,1350,Epic,Ziggs,odysseyziggs
Zilean,585,Legacy,Zilean,zilean
Old Saint Zilean,520,Legacy,Zilean,oldsaintzilean
Groovy Zilean,520,Legacy,Zilean,groovyzilean
Shurima Desert Zilean,975,Legacy,Zilean,shurimadesertzilean
Time Machine Zilean,520,Legacy,Zilean,timemachinezilean
Blood Moon Zilean,975,Legacy,Zilean,bloodmoonzilean
Sugar Rush Zilean,1350,Epic,Zilean,sugarrushzilean
Zoe,975,Legacy,Zoe,zoe
Cyber Pop Zoe,1350,Epic,Zoe,cyberpopzoe
Pool Party Zoe,1350,Epic,Zoe,poolpartyzoe
Zyra,880,Legacy,Zyra,zyra
Wildfire Zyra,975,Legacy,Zyra,wildfirezyra
Haunted Zyra,1350,Epic,Zyra,hauntedzyra
SKT T1 Zyra,750,Legacy,Zyra,sktt1zyra
Dragon Sorceress Zyra,1350,Epic,Zyra,dragonsorceresszyra
Coven Zyra,1350,Epic,Zyra,covenzyra
